Books,Ben,Moose,Reuven,Cust1,Cust2,Francois,Jim C,Iren,Cust3,Cust4,Cust5,Cust6,Cust7,Cust8,Cust9,andrew,ma,matt c,Ocelot,Cust10,crom,joe,Priscilla,Harry Potter,I. Ned,ender,Apollo,Zax,Jaluka,Sanity,Brix,sage32,clipper,YJAM,Martin,Mike,Strongbad,Brian,Douglas Anderson,chrispeh,Rudy A,McLovin,Mike Williams,Dude,Hideo,Rudy Ann,Don Wang,Anna-Carol,SubRia,Ella,Leslie,Sam,Cedric Jones,Don Wang,McLean,Shannon,Joshua,Jeremy,Pablo Sanchez,Scream,ROFLOL,Albus Dumbledore,Alexandra,NaRwHaLs,J-Rok,snoosh,Huxil,hidan,Leah,Boxxy,Rosanna,Claire,David,Zachary,ParseClaws,Tiffany,Sidney,Tony,Mark,NuNu,Hamza ALi,dencellia,Nathan,James,KeeLed,Megan,num_times_read,num_times_most_liked,num_times_most_hated,average_books,net_rating_dict,average_ratings,new_ratings
The Princess Diaries,2,0,1,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,2,4,0,0,4,2,4,0,0,0,0,0,0,0,5,3,0,0,0,2,0,1,0,0,3,0,3,3,5,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 2, 4, 0, 0, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 2, 0, 1, 0, 0, 3, 0, 3, 3, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 2, 4, 0, 0, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 2, 0, 1, 0, 0, 3, 0, 3, 3, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Ender's Game,5,5,5,4,0,4,0,0,0,0,0,3,5,0,4,5,0,5,5,5,0,5,4,3,0,5,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,3,5,0,0,0,0,0,0,5,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[5, 5, 5, 4, 0, 4, 0, 0, 0, 0, 0, 3, 5, 0, 4, 5, 0, 5, 5, 5, 0, 5, 4, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [5, 5, 5, 4, 0, 4, 0, 0, 0, 0, 0, 3, 5, 0, 4, 5, 0, 5, 5, 5, 0, 5, 4, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Hunt for Red October,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Hunger Games,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Great Gatsby,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,2,4,0,5,5,3,0,0,0,1,0,0,0,3,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,4,3,5,4,0,3,0,3,0,0,3,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 2, 4, 0, 5, 5, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 4, 4, 3, 5, 4, 0, 3, 0, 3, 0, 0, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 2, 4, 0, 5, 5, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 4, 4, 3, 5, 4, 0, 3, 0, 3, 0, 0, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Ranger's Apprentice Series,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Inkheart,5,4,2,0,0,0,0,3,4,0,0,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,3,0,4,4,3,0,4,5,0,5,0,5,5,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[5, 4, 2, 0, 0, 0, 0, 3, 4, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 4, 4, 3, 0, 4, 5, 0, 5, 0, 5, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [5, 4, 2, 0, 0, 0, 0, 3, 4, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 4, 4, 3, 0, 4, 5, 0, 5, 0, 5, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Neuromancer,0,4,3,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 4, 3, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 4, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 4, 3, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 4, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Lord of the Flies,0,5,1,0,3,0,0,0,0,0,0,4,0,5,3,4,2,3,4,2,5,4,0,3,4,0,0,0,0,5,3,4,2,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,4,3,4,5,3,4,2,2,2,3,2,3,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 5, 1, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 5, 3, 4, 2, 3, 4, 2, 5, 4, 0, 3, 4, 0, 0, 0, 0, 5, 3, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 4, 0, 0, 4, 3, 4, 5, 3, 4, 2, 2, 2, 3, 2, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 5, 1, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 5, 3, 4, 2, 3, 4, 2, 5, 4, 0, 3, 4, 0, 0, 0, 0, 5, 3, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 4, 0, 0, 4, 3, 4, 5, 3, 4, 2, 2, 2, 3, 2, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Princess Bride,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,5,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 3, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 3, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Dinotopia: A Land Apart from Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Far North,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Practical Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Brave New World,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,3,2,0,4,5,0,0,5,0,2,0,5,0,4,0,4,4,0,0,0,4,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,3,3,4,0,0,0,0,1,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 3, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 4, 5, 0, 0, 5, 0, 2, 0, 5, 0, 4, 0, 4, 4, 0, 0, 0, 4, 1, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 3, 3, 4, 0, 0, 0, 0, 1, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 3, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 4, 5, 0, 0, 5, 0, 2, 0, 5, 0, 4, 0, 4, 4, 0, 0, 0, 4, 1, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 3, 3, 4, 0, 0, 0, 0, 1, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Summer Tree,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 5, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 5, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Flowers For Algernon,0,0,4,3,0,3,4,0,0,0,4,0,0,0,5,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,3,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 4, 3, 0, 3, 4, 0, 0, 0, 4, 0, 0, 0, 5, 4, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 4, 3, 0, 3, 4, 0, 0, 0, 4, 0, 0, 0, 5, 4, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
