users,ratings,The Hitchhiker's Guide To The Galaxy,Watership Down,The Five People You Meet in Heaven,Speak,I Know Why the Caged Bird Sings,Thirteen Reasons Why,Foundation Series,The Sisterhood of the Travelling Pants,A Great and Terrible Beauty,The Da Vinci Code,The Princess Diaries,Ender's Game,The Hunt for Red October,The Hunger Games,The Great Gatsby,Ranger's Apprentice Series,Inkheart,Neuromancer,Lord of the Flies,The Princess Bride,Dinotopia: A Land Apart from Time,Far North,Practical Magic,Brave New World,The Summer Tree,Flowers For Algernon,Owl in Love,Naruto,Bleach (graphic novel),Kiss the Dust,To Kill a Mockingbird,The Lion the Witch and the Wardrobe,The Bourne Series,Life of Pi,Breathless,Twilight Series,Sabriel,Nineteen Eighty-Four (1984),Eragon,Hatchet,My Sister's Keeper,The Golden Compass,Harry Potter Series,Holes,Shonen Jump Series,The Shadow Club,Bone Series,Maus: A Survivor's Tale,The Joy Luck Club,The Lord of the Rings,The Hobbit,Shattered,The War Of The Worlds,Dealing with Dragons,The Chrysalids,new_ratings,rating_distribution,read_books,liked_books,hated_books,neutral_books,unread_books,liked_read_ratio
Cust5,"['0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '3', '0', '0', '0', '0', '0', '5', '0', '3', '0', '3', '5', '3', '0', '0', '0', '3', '0', '5', '5', '0', '0', '5', '0']",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0,5,0,4,0,4,5,4,0,0,0,4,0,5,5,0,0,5,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 5, 0, 4, 0, 4, 5, 4, 0, 0, 0, 4, 0, 5, 5, 0, 0, 5, 0]","Counter({0: 42, 4: 6, 5: 6, 2: 1})",13,12,1,0,42,0.9230769230769231
Cust6,"['1', '1', '3', '3', '-3', '3', '3', '5', '5', '5', '5', '1', '3', '1', '1', '0', '5', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0', '3', '0', '3', '5', '5', '5', '0', '-3', '0', '0', '0', '0', '0', '0', '3', '1', '1']",3,3,4,4,2,4,4,5,5,5,5,3,4,3,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,5,5,5,0,2,0,0,0,0,0,0,4,3,3,"[3, 3, 4, 4, 2, 4, 4, 5, 5, 5, 5, 3, 4, 3, 3, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 0, 4, 5, 5, 5, 0, 2, 0, 0, 0, 0, 0, 0, 4, 3, 3]","Counter({0: 27, 4: 11, 5: 8, 3: 7, 2: 2})",28,19,2,7,27,0.6785714285714286
Cust7,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '-3', '0', '0', '5', '5', '0', '0', '5', '0', '0', '3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5']",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,5,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 5, 5, 0, 0, 5, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5]","Counter({0: 45, 5: 7, 3: 1, 2: 1, 4: 1})",10,8,1,1,45,0.8
Cust8,"['3', '0', '0', '5', '0', '0', '0', '5', '0', '5', '3', '0', '0', '0', '0', '0', '3', '0', '5', '5', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5', '5', '3', '0', '0', '5', '0', '0', '5', '5', '5', '3', '5', '5', '0', '0', '5', '0', '0', '5', '5', '0', '5', '0', '5']",4,0,0,5,0,0,0,5,0,5,4,0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,5,0,5,5,4,0,0,5,0,0,5,5,5,4,5,5,0,0,5,0,0,5,5,0,5,0,5,"[4, 0, 0, 5, 0, 0, 0, 5, 0, 5, 4, 0, 0, 0, 0, 0, 4, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 4, 0, 0, 5, 0, 0, 5, 5, 5, 4, 5, 5, 0, 0, 5, 0, 0, 5, 5, 0, 5, 0, 5]","Counter({0: 31, 5: 19, 4: 5})",24,24,0,0,31,1.0
Cust9,"['5', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '3']",5,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,"[5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4]","Counter({0: 47, 4: 3, 5: 2, 3: 2, 2: 1})",8,5,1,2,47,0.625
andrew,"['3', '3', '1', '0', '3', '0', '3', '0', '0', '-3', '0', '5', '3', '0', '1', '0', '0', '5', '3', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '0', '3', '5', '3', '3', '0', '0', '0', '5', '0', '5', '0', '3', '3', '0', '-3', '0', '0', '5', '1', '5', '3', '0', '3', '0', '0']",4,4,3,0,4,0,4,0,0,2,0,5,4,0,3,0,0,5,4,0,0,0,0,3,0,4,0,3,0,0,4,5,4,4,0,0,0,5,0,5,0,4,4,0,2,0,0,5,3,5,4,0,4,0,0,"[4, 4, 3, 0, 4, 0, 4, 0, 0, 2, 0, 5, 4, 0, 3, 0, 0, 5, 4, 0, 0, 0, 0, 3, 0, 4, 0, 3, 0, 0, 4, 5, 4, 4, 0, 0, 0, 5, 0, 5, 0, 4, 4, 0, 2, 0, 0, 5, 3, 5, 4, 0, 4, 0, 0]","Counter({0: 27, 4: 14, 5: 7, 3: 5, 2: 2})",28,21,2,5,27,0.75
ma,"['0', '0', '0', '0', '5', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '-3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '-3', '-3', '0', '0', '0', '0']",0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]","Counter({0: 45, 2: 5, 4: 4, 5: 1})",10,5,5,0,45,0.5
matt c,"['0', '3', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5', '0', '0', '-3', '5', '0', '0', '1', '0', '0', '3', '0', '0', '3', '0', '0', '0', '0', '0', '1', '3', '3', '0', '0', '0', '0', '0', '5', '0', '0', '0', '5', '3', '0', '3', '0', '0', '0', '5', '5', '3', '0', '0', '0']",0,4,0,0,0,0,0,0,0,5,0,5,0,0,2,5,0,0,3,0,0,4,0,0,4,0,0,0,0,0,3,4,4,0,0,0,0,0,5,0,0,0,5,4,0,4,0,0,0,5,5,4,0,0,0,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 2, 5, 0, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 4, 0, 4, 0, 0, 0, 5, 5, 4, 0, 0, 0]","Counter({0: 37, 4: 8, 5: 7, 3: 2, 2: 1})",18,15,1,2,37,0.8333333333333334
Ocelot,"['5', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '3', '0', '0', '5', '3', '0', '0', '0', '0', '3', '0', '1', '1', '0', '0', '0', '3', '3', '0', '5', '0', '-3', '0', '3', '0', '0', '0', '5', '3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0']",5,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,4,0,0,0,0,4,0,3,3,0,0,0,4,4,0,5,0,2,0,4,0,0,0,5,4,0,0,0,0,0,0,0,4,0,3,0,0,"[5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 0, 0, 5, 4, 0, 0, 0, 0, 4, 0, 3, 3, 0, 0, 0, 4, 4, 0, 5, 0, 2, 0, 4, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0]","Counter({0: 37, 4: 8, 5: 5, 3: 4, 2: 1})",18,13,1,4,37,0.7222222222222222
Cust10,"['5', '0', '0', '0', '1', '0', '0', '0', '0', '-5', '0', '5', '0', '0', '0', '0', '0', '3', '-3', '3', '0', '0', '0', '5', '0', '5', '0', '0', '0', '0', '3', '3', '0', '5', '0', '0', '0', '5', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0']",5,0,0,0,3,0,0,0,0,1,0,5,0,0,0,0,0,4,2,4,0,0,0,5,0,5,0,0,0,0,4,4,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,"[5, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 4, 2, 4, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 4, 4, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 40, 5: 7, 4: 5, 3: 1, 1: 1, 2: 1})",15,12,2,1,40,0.8
crom,"['0', '0', '3', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '5', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0', '0', '0', '0']",0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0]","Counter({0: 47, 5: 4, 4: 3, 2: 1})",8,7,1,0,47,0.875
joe,"['3', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '5', '0', '1', '1', '3', '0', '1', '0', '3', '0', '0', '0', '0', '3', '3', '0', '5', '3', '1', '3', '0', '1', '0', '3', '1', '0', '0', '5', '3', '0', '5', '0', '1', '0', '0', '1', '5', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,4,0,5,0,0,5,0,3,3,4,0,3,0,4,0,0,0,0,4,4,0,5,4,3,4,0,3,0,4,3,0,0,5,4,0,5,0,3,0,0,3,5,0,0,0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 5, 0, 3, 3, 4, 0, 3, 0, 4, 0, 0, 0, 0, 4, 4, 0, 5, 4, 3, 4, 0, 3, 0, 4, 3, 0, 0, 5, 4, 0, 5, 0, 3, 0, 0, 3, 5, 0, 0, 0, 0]","Counter({0: 31, 4: 10, 3: 8, 5: 6})",24,16,0,8,31,0.6666666666666666
Priscilla,"['5', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '3', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '1', '0', '1', '0', '-3']",5,0,0,0,0,0,5,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,2,"[5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 2]","Counter({0: 41, 5: 4, 4: 4, 3: 4, 2: 2})",14,8,2,4,41,0.5714285714285714
Harry Potter,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '-5', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]","Counter({0: 47, 3: 4, 4: 2, 1: 1, 5: 1})",8,3,1,4,47,0.375
I. Ned,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '-3', '0', '0', '3', '1', '0', '3', '1', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '-3']",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,2,0,0,4,3,0,4,3,0,0,0,0,0,4,0,0,0,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 2, 0, 0, 4, 3, 0, 4, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2]","Counter({0: 43, 3: 5, 4: 4, 2: 3})",12,4,3,5,43,0.3333333333333333
